Song,Country,id,Artist,Year,Language,Points,Rank
It's Nice to Be in Love Again,Ireland,,The Swarbriggs Plus Two,1977,English,119,3
Une petite française,Monaco,09XvoHQkZkzNnAAUeUmfD8,Michèle Torr,1977,French,96,4
De mallemolen,Netherlands,,Heddy Lester,1977,Dutch,35,12
Boom Boom Boomerang,Austria,,Schmetterlinge,1977,Germana,11,17
Casanova,Norway,,Anita Skorgan,1977,Norwegian,18,14
Telegram,Germany,4HBsgS38VpcA6wKhY0N2T5,Silver Convention,1977,English,55,8
Frère Jacques,Luxembourg,,Anne-Marie B,1977,French,17,16
Portugal no coração,Portugal,,Os Amigos,1977,Portuguese,18,14
Rock Bottom,United Kingdom,,Lynsey de Paul & Mike Moran,1977,English,121,2
Mathima solfege (Μάθημα σολφέζ),Greece,,"Paschalis, Marianna, Robert & Bessy",1977,Greek,92,5
"Ahava Hi Shir Lishnayim
(אהבה היא שיר לשניים)",Israel,,Ilanit,1977,Hebrew,49,11
Swiss Lady,Switzerland,,Pepe Lienhard Band,1977,German,71,6
Beatles,Sweden,5YEnlogXsIbczQ9tMyU2Hf,Forbes,1977,Swedish,2,18
Enséñame a cantar,Spain,6zT8SxeBSGZlMgQM8VvgYZ,Micky,1977,Spanish,52,9
Libera,Italy,12gZfYCQvfXAcFxrGzZ05b,Mia Martini,1977,Italian,33,13
Lapponia,Finland,131CXFc3np7WHcdQnyHDi6,Monica Aspelund,1977,Finnish,50,10
"A Million in One, Two, Three",Belgium,,Dream Express,1977,English,69,7
L'oiseau et l'enfant,France,7Hy0CZtFcREucLDXB5jp6m,Marie Myriam,1977,French,136,1
Born to Sing,Ireland,,Colm C. T. Wilkinson,1978,English,86,5
Mil etter mil,Norway,2tbNnbDM8vcGxlPqzyQHNj,Jahn Teigen,1978,Norwegian,0,20
Questo amore,Italy,,Ricchi e Poveri,1978,Italian,53,12
Anna rakkaudelle tilaisuus,Finland,6sC95DOH4NWj6c22bTZf3C,Seija Simola,1978,Finnish,2,18
Dai li dou,Portugal,,Gemini,1978,Portuguese,5,17
Il y aura toujours des violons,France,,Joël Prévost,1978,French,119,3
Bailemos un vals,Spain,,José Vélez,1978,Spanisha,65,9
The Bad Old Days,United Kingdom,,Co-Co,1978,English,61,11
Vivre,Switzerland,,Carole Vinci,1978,French,65,9
L'amour ça fait chanter la vie,Belgium,,Jean Vallée,1978,French,125,2
't Is OK,Netherlands,2y5sjCY1qMqCRmWkx5EinU,Harmony,1978,Dutch,37,13
Sevince,Turkey,,Nilüfer & Nazar,1978,Turkish,2,18
Feuer,Germany,,Ireen Sheer,1978,German,84,6
Les jardins de Monaco,Monaco,,Caline & Olivier Toussaint,1978,French,107,4
Charlie Chaplin (Τσάρλυ Τσάπλιν),Greece,,Tania Tsanaklidou,1978,Greek,66,8
Boom Boom,Denmark,,Mabel,1978,Danish,13,16
Parlez-vous français?,Luxembourg,5Jdagapk8O0PE29Y06uwu3,Baccara,1978,French,73,7
A-Ba-Ni-Bi (א-ב-ני-בי),Israel,,Izhar Cohen & the Alphabeta,1978,Hebrew,157,1
Mrs. Caroline Robinson,Austria,,Springtime,1978,Germanb,14,15
Det blir alltid värre framåt natten,Sweden,62JiaUfaO3wA1iIvS2MYa8,Björn Skifs,1978,Swedish,26,14
"Sobe, sobe, balão sobe",Portugal,,Manuela Bravo,1979,Portuguese,64,9
Raggio di luna,Italy,5yYiMOBbELxRXt7c0bSCur,Matia Bazar,1979,Italian,27,15
Disco Tango,Denmark,4s9wyMSa8MSzGbfL4kffkV,Tommy Seebach,1979,Danish,76,6
Happy Man,Ireland,,Cathal Dunne,1979,English,80,5
Katson sineen taivaan,Finland,3pSCzltWC0g9MzFczvgX56,Katri Helena,1979,Finnish,38,14
Notre vie c'est la musique,Monaco,,Laurent Vaguener,1979,French,12,16
Sokrati (Σωκράτη),Greece,,Elpida,1979,Greek,69,8
Trödler und Co,Switzerland,,"Peter, Sue, Marc, Pfuri, Gorps and Kniri",1979,German,60,10
Dschinghis Khan,Germany,6FDhwn2l1c9xanGyUUKEW0,Dschinghis Khan,1979,German,86,4
Hallelujah (הללויה),Israel,,Gali Atari and Milk and Honey,1979,Hebrew,125,1
Je suis l'enfant soleil,France,0DmO7vmzpWybDWJ51mIPFZ,Anne-Marie David,1979,French,106,3
Hey Nana,Belgium,,Micha Marah,1979,Dutch,5,18
J'ai déjà vu ça dans tes yeux,Luxembourg,,Jeane Manson,1979,French,44,13
Colorado,Netherlands,,Xandra,1979,Dutch,51,12
Satellit,Sweden,,Ted Gärdestad,1979,Swedish,8,17
Oliver,Norway,,Anita Skorgan,1979,Norwegian,57,11
Mary Ann,United Kingdom,,Black Lace,1979,English,73,7
Heute in Jerusalem,Austria,,Christina Simon,1979,German,5,18
Su canción,Spain,2Be86Izdocyz5jLhrQd09k,Betty Missiego,1979,Spanish,116,2
Du bist Musik,Austria,,Blue Danube,1980,German,64,8
Pet'r Oil,Turkey,1Rz8ryyjIkIMeyzye8V1Fa,Ajda Pekkan,1980,Turkish,23,15
Autostop (Ωτοστόπ),Greece,,Anna Vissi and the Epikouri,1980,Greek,30,13
Papa pingouin,Luxembourg,,Sophie & Magaly,1980,French,56,9
Bitaqat Hub (بطاقة حب),Morocco,,Samira Bensaïd,1980,Arabic,7,18
Non so che darei,Italy,0EOdowktdF7kczBbqstCfF,Alan Sorrenti,1980,Italian,87,6
Tænker altid på dig,Denmark,,Bamses Venner,1980,Danish,25,14
Just nu!,Sweden,,Tomas Ledin,1980,Swedish,47,10
Cinéma,Switzerland,,Paola,1980,French,104,4
Huilumies,Finland,0c9J663CeaQWbffD7umWtj,Vesa-Matti Loiri,1980,Finnish,6,19
Sámiid ædnana,Norway,,Sverre Kjelsberg & Mattis Hætta,1980,Norwegian,15,16
Theater,Germany,,Katja Ebstein,1980,German,128,2
Love Enough for Two,United Kingdom,,Prima Donna,1980,English,106,3
"Um grande, grande amor",Portugal,2msgWbc4Q9sY7esGISFiWx,José Cid,1980,Portuguese,71,7
Amsterdam,Netherlands,57a7RnAVNp4WEGiNxhr43b,Maggie MacNeal,1980,Dutch,93,5
"Hé, hé, m'sieurs dames",France,,Profil,1980,French,45,11
What's Another Year,Ireland,3ta02cB4LPfhru6F9D4CjW,Johnny Logan,1980,English,143,1
Quédate esta noche,Spain,5hijfO71dmiQXCSRRMuJ3j,Trigo Limpio,1980,Spanish,38,12
Euro-Vision,Belgium,,Telex,1980,French,14,17
Wenn du da bist,Austria,,Marty Brem,1981,German,20,17
Dönme Dolap,Turkey,,Modern Folk Üçlüsü & Ayşegül,1981,Turkish,9,18
Johnny Blue,Germany,,Lena Valaitis,1981,German,132,2
C'est peut-être pas l'Amérique,Luxembourg,,Jean-Claude Pascal,1981,French,41,11
Halayla (הלילה),Israel,,Hakol Over Habibi,1981,Hebrew,56,7
Krøller eller ej,Denmark,,Tommy Seebach & Debbie Cameron,1981,Danish,41,11
Lejla,Yugoslavia,,"Seid Memić ""Vajta""",1981,Bosnian,35,15
Reggae OK,Finland,1imEEZtoDgs1m6eV8HXpn7,Riki Sorsa,1981,Finnish,27,16
Humanahum,France,,Jean Gabilou,1981,French,125,3
Y sólo tú,Spain,1d9NXqULwsBqqdUx4Nvnl4,Bacchelli,1981,Spanish,38,14
Het is een wonder,Netherlands,,Linda Williams,1981,Dutch,51,9
Horoscopes,Ireland,1dqKwHVYD0NFiHtBspL9bw,Sheeba,1981,English,105,5
Aldri i livet,Norway,3R2tk8Wa0L8cnm8dFHS3hh,Finn Kalvik,1981,Norwegian,0,20
Making Your Mind Up,United Kingdom,0Azn2vpP3Sbs8qAG8e1KUc,Bucks Fizz,1981,English,136,1
Playback,Portugal,5p6sOMJAAYK90DbEbKZhKT,Carlos Paião,1981,Portuguese,9,18
Samson,Belgium,,Emly Starr,1981,Dutch,40,13
Feggari kalokerino (Φεγγάρι καλοκαιρινό),Greece,,Yiannis Dimitras,1981,Greek,55,8
Monika (Μόνικα),Cyprus,,Island,1981,Greek,69,6
Io senza te,Switzerland,,"Peter, Sue and Marc",1981,Italian,121,4
Fångad i en dröm,Sweden,2N2mRcSRtluXtCBV8BxiGc,Björn Skifs,1981,Swedish,50,10
Bem bom,Portugal,,Doce,1982,Portuguese,32,13
Cours après le temps,Luxembourg,7M00nlcbnBfSJeo7tPrXux,Svetlana,1982,French,78,6
Adieu,Norway,,Jahn Teigen & Anita Skorgan,1982,Norwegian,40,12
One Step Further,United Kingdom,23MbJwSXJRfM8rwQ6RUdD5,Bardo,1982,English,76,7
Hani?,Turkey,7e8fcP4DXkMymwsHlNFDAk,Neco,1982,Turkish,20,15
Nuku pommiin,Finland,,Kojo,1982,Finnish,0,18
Amour on t'aime,Switzerland,,Arlette Zola,1982,French,97,3
Mono i agapi (Μόνο η αγάπη),Cyprus,,Anna Vissi,1982,Greek,85,5
Dag efter dag,Sweden,6lG65UH64cyVQhsmiV8Ht3,Chips,1982,Swedish,67,8
Sonntag,Austria,,Mess,1982,German,57,9
Si tu aimes ma musique,Belgium,,Stella,1982,French,96,4
Él,Spain,,Lucía,1982,Spanish,52,10
"Video, Video",Denmark,,Brixx,1982,Danish,5,17
"Halo, halo (Хало, хало)",Yugoslavia,,Aska,1982,Serbian,21,14
Hora (הורה),Israel,,Avi Toledano,1982,Hebrew,100,2
Jij en ik,Netherlands,,Bill van Dijk,1982,Dutch,8,16
Here Today Gone Tomorrow,Ireland,7nXYXmz1hLXHfyxJaqy4bd,The Duskeys,1982,English,49,11
Ein Bißchen Frieden,Germany,75G6zxISPyxlvJerKubyyx,Nicole,1982,German,161,1
Vivre,France,0IIVuDFTn6WtaIjaDVeGKC,Guy Bonnet,1983,French,56,8
Do Re Mi,Norway,1CN16UGl4UCzZPMHpHreBT,Jahn Teigen,1983,Norwegian,53,9
I'm Never Giving Up,United Kingdom,,Sweet Dreams,1983,English,79,6
Främling,Sweden,,Carola Häggkvist,1983,Swedish,126,3
Per Lucia,Italy,5ZeV96MrS8CdK6NvVhexmi,Riccardo Fogli,1983,Italian,41,11
Opera,Turkey,,Çetin Alp & the Short Waves,1983,Turkish,0,19
¿Quién maneja mi barca?,Spain,0TWaqxvioVlbLIa1mGIN1z,Remedios Amaya,1983,Spanish,0,19
Io così non ci sto,Switzerland,,Mariella Farré,1983,Italian,28,15
Fantasiaa,Finland,5H2rFo6GES9Egze9s01LQU,Ami Aspelund,1983,Finnish,41,11
Mou les (Μου λες),Greece,,Christie Stasinopoulou,1983,Greek,32,14
Sing Me a Song,Netherlands,,Bernadette,1983,Dutch,66,7
Džuli,Yugoslavia,,Daniel,1983,Serbo-Croatian,125,4
I agapi akoma zi (Η αγάπη ακόμα ζει),Cyprus,,Stavros & Constantina,1983,Greek,26,16
Rücksicht,Germany,,Hoffmann & Hoffmann,1983,German,94,5
Kloden drejer,Denmark,,Gry Johansen,1983,Danish,16,17
Hi (חי),Israel,,Ofra Haza,1983,Hebrew,136,2
Esta balada que te dou,Portugal,717ng7bkRhm36YIE8FLZdY,Armando Gama,1983,Portuguese,33,13
Hurricane,Austria,,Westend,1983,German,53,9
Rendez-vous,Belgium,,Pas de Deux,1983,Dutch,13,18
Si la vie est cadeau,Luxembourg,1EWdXm6nTbSfyV60znjCLF,Corinne Hermès,1983,French,142,1
Diggi-Loo Diggi-Ley,Sweden,,Herreys,1984,Swedish,145,1
100% d'amour,Luxembourg,,Sophie Carle,1984,French,39,10
Autant d'amoureux que d'étoiles,France,,Annick Thoumazeau,1984,French,61,8
"Lady, Lady",Spain,3K0rUw4z0khdNg4MiSIHB4,Bravo,1984,Spanish1,106,3
Lenge leve livet,Norway,2m9BngLZzITq9TDjbXdUYY,Dollie de Luxe,1984,Norwegian,29,17
Love Games,United Kingdom,,Belle and the Devotions,1984,English,63,7
Anna Maria Lena (Άννα Μαρία Λένα),Cyprus,,Andy Paul,1984,Greek,31,15
Avanti la vie,Belgium,2s0NUFo02OS4aOMBmjczQg,Jacques Zegers,1984,French2,70,5
Terminal 3,Ireland,7pr0CwFQ9aGjgWwCGt4R8K,Linda Martin,1984,English,137,2
Det' lige det,Denmark,,Hot Eyes,1984,Danish,101,4
Ik hou van jou,Netherlands,0dfm6cBzAv8Q7tKswPXUcZ,Maribelle,1984,Dutch,34,13
"Ciao, amore",Yugoslavia,,Vlado & Isolda,1984,Serbo-Croatian2,26,18
Einfach weg,Austria,,Anita,1984,German,5,19
Aufrecht geh'n,Germany,,Mary Roos,1984,German,34,13
Halay,Turkey,,"Beş Yıl Önce, On Yıl Sonra",1984,Turkish,37,12
Hengaillaan,Finland,2qubufXQHBLjCdn9piCnJc,Kirka,1984,Finnish,46,9
Welche Farbe hat der Sonnenschein?,Switzerland,,Rainy Day,1984,German,30,16
I treni di Tozeur,Italy,,Alice & Franco Battiato,1984,Italian3,70,5
Silêncio e tanta gente,Portugal,,Maria Guinot,1984,Portuguese,38,11
Wait Until the Weekend Comes,Ireland,,Maria Christian,1985,English,91,6
Eläköön elämä,Finland,6L5TW1KK9Ivupfy6E2PBZB,Sonja Lumme,1985,Finnish,58,9
To katalava arga (Το κατάλαβα αργά),Cyprus,,Lia Vissi,1985,Greek,15,16
Sku' du spørg' fra no'en?,Denmark,,Hot Eyes,1985,Danish,41,11
La fiesta terminó,Spain,5e4RkP8WDAiZHH0jeVBO3B,Paloma San Basilio,1985,Spanish,36,14
Femme dans ses rêves aussi,France,,Roger Bens,1985,French,56,10
Didai didai dai,Turkey,5nSz1ouWzlJW51ywcvcEWx,MFÖ,1985,Turkish,36,14
Laat me nu gaan,Belgium,,Linda Lepomme,1985,Dutch,7,19
"Penso em ti, eu sei",Portugal,,Adelaide,1985,Portuguese,9,18
Für alle,Germany,2ouDZVwdlXfrsVJV9j2WiW,Wind,1985,German,105,2
"Olé, Olé (עולה, עולה)",Israel,,Izhar Cohen,1985,Hebrew,93,5
Magic Oh Magic,Italy,,Al Bano & Romina Power,1985,Italian,78,7
La det swinge,Norway,,Bobbysocks!,1985,Norwegian,123,1
Love Is…,United Kingdom,,Vikki,1985,English,100,4
"Piano, piano",Switzerland,,Mariella Farré & Pino Gasparini,1985,German,39,12
Bra vibrationer,Sweden,0NOLQCkOO2wgEaUR5y1ahK,Kikki Danielsson,1985,Swedish,103,3
Kinder dieser Welt,Austria,4MeBZoCY7TBtMUj3TXOnwx,Gary Lux,1985,German,60,8
"Children, Kinder, Enfants",Luxembourg,,"Margo, Franck Olivier, Diane Solomon, Ireen Sheer, Chris & Malcolm Roberts",1985,French,37,13
Miazoume (Μοιάζουμε),Greece,,Takis Biniaris,1985,Greek,15,16
L'amour de ma vie,Luxembourg,,Sherisse Laurence,1986,French,117,3
Željo moja,Yugoslavia,4Snbcg4pZHX6xMi0gU5wU6,Doris Dragović,1986,Croatian,49,11
Européennes,France,,Cocktail Chic,1986,French,13,17
Romeo,Norway,0wMirDb2qbwhpxBZAoU4Ht,Ketil Stokkan,1986,Norwegian,44,12
Runner in the Night,United Kingdom,,Ryder,1986,English,72,7
Gleðibankinn,Iceland,5aUaYzFFAtOLL504lPfBQJ,ICY,1986,Icelandic,19,16
Alles heeft ritme,Netherlands,3RJ6NDZxwX8fFUMrEdlpW4,Frizzle Sizzle,1986,Dutch,40,13
Halley,Turkey,,Klips ve Onlar,1986,Turkish,53,9
Valentino,Spain,,Cadillac,1986,Spanish,51,10
Pas pour moi,Switzerland,,Daniela Simmons,1986,French,140,2
Yavo Yom (יבוא יום),Israel,,Moti Giladi & Sarai Tzuriel,1986,Hebrew,7,19
You Can Count On Me,Ireland,,Luv Bug,1986,English,96,4
J'aime la vie,Belgium,5opXus6JIe9UD94Qk24RYB,Sandra Kim,1986,French,176,1
Über die Brücke geh'n,Germany,5WqJIZWDsVfmMNwK2cYLzn,Ingrid Peters,1986,German,62,8
Tora zo (Τώρα ζω),Cyprus,,Elpida,1986,Greek,4,20
Die Zeit ist einsam,Austria,,Timna Brauer,1986,German,12,18
E' de' det här du kallar kärlek?,Sweden,,Lasse Holm & Monica Törnell,1986,Swedish,78,5
Du er fuld af løgn,Denmark,,Lise Haavik,1986,Danish,77,6
Never the End,Finland,,Kari Kuivalainen,1986,Finnish,22,15
Não sejas mau para mim,Portugal,,Dora,1986,Portuguese,28,14
Mitt liv,Norway,,Kate Gulbrandsen,1987,Norwegian,65,9
Shir Habatlanim (שיר הבטלנים),Israel,,Lazy Bums,1987,Hebrew,73,8
Nur noch Gefühl,Austria,,Gary Lux,1987,German,8,20
Hægt og hljótt,Iceland,3UGQDVQ1b6iPVBu6GuUY4z,Halla Margrét,1987,Icelandic,28,16
Soldiers of Love,Belgium,6s6kTSOh76tC2litBaxcCx,Liliane Saint-Pierre,1987,Dutch1,56,11
Boogaloo,Sweden,,Lotta Engberg,1987,Swedish,50,12
Gente di mare,Italy,,Umberto Tozzi & Raf,1987,Italian,103,3
Neste barco à vela,Portugal,,Nevada,1987,Portuguese,15,18
No estás solo,Spain,7iytRdbLcFtiL8ZvR9CMKK,Patricia Kraus,1987,Spanish,10,19
Şarkım Sevgi Üstüne,Turkey,,Seyyal Taner & Lokomotif,1987,Turkish,0,22
Stop (Στοπ),Greece,,Bang,1987,Greek,64,10
Rechtop in de wind,Netherlands,4rFhc427aocb0JIGGHeAO2,Marcha,1987,Dutch,83,5
"Amour, amour",Luxembourg,2jMRfPunU0n4t3MZkkmXL8,Plastic Bertrand,1987,French,4,21
Only the Light,United Kingdom,,Rikki,1987,English,47,13
Les mots d'amour n'ont pas de dimanche,France,,Christine Minier,1987,French,44,14
Lass die Sonne in dein Herz,Germany,1iHxN6pNaC8XJWQIwXO3Z2,Wind,1987,German,141,2
Aspro-mavro (Άσπρο-μαύρο),Cyprus,,Alexia,1987,Greek,80,7
Sata salamaa,Finland,,Vicky Rosti & Boulevard,1987,Finnish,32,15
En lille melodi,Denmark,,Anne-Cathrine Herdorf & Bandjo,1987,Danish,83,5
Hold Me Now,Ireland,482pOo6IOI0qNNHxkQFEDn,Johnny Logan,1987,English,172,1
Ja sam za ples,Yugoslavia,5DgmemtjCB3OHNDlJENgtu,Novi fosili,1987,Croatian,92,4
"Moitié, moitié",Switzerland,6Bp4G44gzQc5dlp6Y2PEx5,Carol Rich,1987,French,26,17
Avrei voluto,Italy,,Anna Oxa & Fausto Leali,1989,Italian,56,9
Derekh Hamelekh (דרך המלך),Israel,,Gili Netanel & Galit Burg-Michael,1989,Hebrew,50,12
The Real Me,Ireland,,Kiev Connolly & The Missing Passengers,1989,English,21,18
Blijf zoals je bent,Netherlands,,Justine Pelmelay,1989,Dutch,45,15
Bana Bana,Turkey,,Pan,1989,Turkish,5,21
Door de wind,Belgium,5eAOvEd5GqKdRTgNYsAAmW,Ingeborg,1989,Dutch,13,19
Why Do I Always Get it Wrong?,United Kingdom,,Live Report,1989,English,130,2
Venners nærhet,Norway,,Britt Synnøve Johansen,1989,Norwegian,30,17
Conquistador,Portugal,,Da Vinci,1989,Portuguese,39,16
En dag,Sweden,,Tommy Nilsson,1989,Swedish,110,4
Monsieur,Luxembourg,,Park Café,1989,French,8,20
Vi maler byen rød,Denmark,5R7qlPnCh9qVEtNaHIyPvh,Birthe Kjær,1989,Danish,111,3
Nur ein Lied,Austria,,Thomas Forstner,1989,German,97,5
La dolce vita,Finland,1oasHUAT1Bsd2BzCat6LfR,Anneli Saaristo,1989,Finnish,76,7
J'ai volé la vie,France,,Nathalie Pâque,1989,French,60,8
Nacida para amar,Spain,4HwxlORY1QAe12WtiglWt6,Nina,1989,Spanish,88,6
Apopse as vrethume (Απόψε ας βρεθούμε),Cyprus,,Fani Polymeri & Yiannis Savvidakis,1989,Greek,51,11
Viver senza tei,Switzerland,6y1hjHbuaVrbTIjm3Chb8T,Furbaz,1989,Romansh,47,13
To diko sou asteri (Το δικό σου αστέρι),Greece,,Marianna Efstratiou,1989,Greek,56,9
Það sem enginn sér,Iceland,4z2ZE06HJZKuhvCNcykGIJ,Daníel Ágúst Haraldsson,1989,Icelandic,0,22
Flieger,Germany,,Nino de Angelo,1989,German,46,14
Rock Me,Yugoslavia,2WXogQGOO7qo2hlHyzpwhg,Riva,1989,Serbo-Croatian,137,1
Bandido,Spain,2rHhKu1hW8uqyr7LSrRn8E,Azúcar Moreno,1990,Spanish,96,5
Horis skopo (Χωρίς σκοπό),Greece,,Christos Callow & Wave,1990,Greek,11,19
Macédomienne,Belgium,,Philippe Lafontaine,1990,French,46,12
Gözlerinin Hapsindeyim,Turkey,7B35SoCqYSOKiea23ZJ3QK,Kayahan,1990,Turkish,21,17
Ik wil alles met je delen,Netherlands,6u9bhny1eZmsW0gnDqNUO5,Maywood,1990,Dutch,25,15
Quand je te rêve,Luxembourg,,Céline Carzo,1990,French,38,13
Give a Little Love Back to the World,United Kingdom,,Emma,1990,English,87,6
Eitt lag enn,Iceland,60RuosVixhawXh4M3fDq5y,Stjórnin,1990,Icelandic,124,4
Brandenburger Tor,Norway,1XtViOz9diXCjk28gjMd1N,Ketil Stokkan,1990,Norwegian,8,21
Shara Barkhovot (שרה ברחובות),Israel,,Rita,1990,Hebrew,16,18
Hallo Hallo,Denmark,,Lonnie Devantier,1990,Danish,64,8
Musik klingt in die Welt hinaus,Switzerland,,Egon Egemann,1990,German,51,11
Frei zu leben,Germany,,Chris Kempers & Daniel Kovac,1990,German,60,9
White and Black Blues,France,,Joëlle Ursull,1990,French,132,2
Hajde da ludujemo,Yugoslavia,2jEBdBbgODqNlhpv4DlXlv,Tajči,1990,Croatian,81,7
Há sempre alguém,Portugal,,Nucha,1990,Portuguese,9,20
Somewhere in Europe,Ireland,4Jqlci3vs1lexDU8BfCaho,Liam Reilly,1990,English,132,2
Som en vind,Sweden,,Edin-Ådahl,1990,Swedish,24,16
Insieme: 1992,Italy,44noNMO0iv87Tds7dwcpQU,Toto Cutugno,1990,Italian,149,1
Keine Mauern mehr,Austria,,Simone,1990,German1,58,10
Milas poli (Μιλάς πολύ),Cyprus,,Haris Anastasiou,1990,Greek,36,14
Fri?,Finland,,Beat,1990,Swedish,8,21
Brazil (Бразил),Yugoslavia,,Baby Doll,1991,Serbian,1,21
Draumur um Nínu,Iceland,,Stefán & Eyfi,1991,Icelandic,26,15
Could It Be,Malta,,Georgina & Paul Giordimaina,1991,English,106,6
I anixi (Η άνοιξη),Greece,,Sophia Vossou,1991,Greek,36,13
Canzone per te,Switzerland,,Sandra Simó,1991,Italian,118,5
Venedig im Regen,Austria,,Thomas Forstner,1991,German,0,22
Un baiser volé,Luxembourg,,Sarah Bray,1991,French,29,14
Fångad av en stormvind,Sweden,4dPjQ3ERabLNwlNJUZ1cVL,Carola,1991,Swedish,146,1
C'est le dernier qui a parlé qui a raison,France,,Amina,1991,French,146,2
İki Dakika,Turkey,,"İzel Çeliköz, Reyhan Karaca & Can Uğurluer",1991,Turkish,44,12
Could It Be That I'm In Love,Ireland,,Kim Jackson,1991,English,47,10
Lusitana paixão,Portugal,,Dulce Pontes,1991,Portuguese,62,8
Lige der hvor hjertet slår,Denmark,03fKnIb01IC1rrU0PnPbDL,Anders Frandsen,1991,Danish,8,19
Mrs. Thompson,Norway,,Just 4 Fun,1991,Norwegian,14,17
Kan (כאן),Israel,,Duo Datz,1991,Hebrew,139,3
Hullu yö,Finland,03GeRqkn3tyBiMIK7Ut3Zd,Kaija Kärkinen,1991,Finnish,6,20
Dieser Traum darf niemals sterben,Germany,,Atlantis 2000,1991,German,10,18
Geef het op,Belgium,5fg5IGz0xl2WhsLTvkbJ1h,Clouseau,1991,Dutch,23,16
Bailar pegados,Spain,7glOpcmwz8zv2nbsLcvFrs,Sergio Dalma,1991,Spanish,119,4
A Message to Your Heart,United Kingdom,,Samantha Janus,1991,English,47,10
SOS,Cyprus,,Elena Patroklou,1991,Greek,60,9
Comme è ddoce 'o mare,Italy,,Peppino di Capri,1991,Neapolitan,89,7
Todo esto es la música,Spain,,Serafín,1992,Spanish,37,14
"Nous, on veut des violons",Belgium,,Morgane,1992,French,11,20
Ze Rak Sport (זה רק ספורט),Israel,,Dafna Dekel,1992,Hebrew,85,6
Yaz Bitti,Turkey,,Aylin Vatankoş,1992,Turkish,17,19
Olou tou kosmou i Elpida (Όλου του κόσμου η Ελπίδα),Greece,,Cleopatra,1992,Greek,94,5
Monté la riviè,France,1ZWKJ6qFytChbVlfyKnvnD,Kali,1992,"French, Antillean Creole",73,8
I morgon är en annan dag,Sweden,7DqyeESnaKCwDjgmA45UFZ,Christer Björkman,1992,Swedish,9,22
Amor d'água fresca,Portugal,,Dina,1992,Portuguese,26,17
Teriazoume (Ταιριάζουμε),Cyprus,,Evridiki,1992,Greek,57,11
Little Child,Malta,6jQ1TWGhShk7oMrvBOL173,Mary Spiteri,1992,English,123,3
Nei eða já,Iceland,3Q2U0VEqFtL5hnFmCigtiM,Heart 2 Heart,1992,Icelandic,80,7
"Yamma, yamma",Finland,,Pave Maijanen,1992,Finnish,4,23
Mister Music Man,Switzerland,,Daisy Auvray,1992,French,32,15
Sou fräi,Luxembourg,,Marion Welter & Kontinent,1992,Luxembourgish,10,21
Zusammen geh'n,Austria,,Tony Wegas,1992,German,63,10
One Step Out of Time,United Kingdom,4FoEAvxkTIvfaoiskyqFfO,Michael Ball,1992,English,139,2
Why Me?,Ireland,7pC7VExgeRZFCAD1pCy049,Linda Martin,1992,English,155,1
Alt det som ingen ser,Denmark,,Kenny Lübcke & Lotte Nilsson,1992,Danish,47,12
Rapsodia,Italy,,Mia Martini,1992,Italian,111,4
Ljubim te pesmama (Љубим те песмама),Yugoslavia,,Extra Nena,1992,Serbian,44,13
Visjoner,Norway,,Merethe Trøan,1992,Norwegian,23,18
Träume sind für alle da,Germany,6GOeCowfmp1PK72RoRmaWL,Wind,1992,German,27,16
Wijs me de weg,Netherlands,2hVNKv5797OsBC4PxnwZdz,Humphrey Campbell,1992,Dutch,67,9
Sole d'Europa,Italy,,Enrico Ruggeri,1993,Italian,45,12
Esmer Yarim,Turkey,5ZBKZN6h23M1LqFa0sKWzv,Burak Aydos,1993,Turkish,10,21
Viel zu weit,Germany,4KR49pzlifyec8b0HzIybv,Münchener Freiheit,1993,German,18,18
"Moi, tout simplement",Switzerland,,Annie Cotton,1993,French,148,3
Under stjernerne på himlen,Denmark,,Tommy Seebach Band,1993,Danish,9,22
"Ellada, hora tou fotos (Ελλάδα, χώρα του φωτός)",Greece,,Katerina Garbi,1993,Greek,64,9
Iemand als jij,Belgium,,Barbara Dex,1993,Dutch,3,25
This Time,Malta,2vNnY9vB5JIV4o5I8Edf04,William Mangion,1993,English,69,8
Þá veistu svarið,Iceland,5Ca1nvUuOrpW0XB3KBszAa,Inga,1993,Icelandic,42,13
Maria Magdalena,Austria,,Tony Wegas,1993,German,32,14
A cidade (até ser dia),Portugal,,Anabela,1993,Portuguese,60,10
Mama Corsica,France,,Patrick Fiori,1993,"French, Corsican",121,4
Eloise,Sweden,5Ws6u3a6SibPmJazXdEAHB,Arvingarna,1993,Swedish,89,7
In Your Eyes,Ireland,7LBBL20GLOtjBJwxgVmzPK,Niamh Kavanagh,1993,English,187,1
Donne-moi une chance,Luxembourg,,Modern Times,1993,"French, Luxembourgish",11,20
Tih deževen dan,Slovenia,,1X Band,1993,Slovene,9,22
Tule luo,Finland,4XWDwUC9rNLK8BA4uG5uz4,Katri Helena,1993,Finnish,20,17
Sva bol svijeta,Bosnia and Herzegovina,,Fazla,1993,Bosnian,27,16
Better the Devil You Know,United Kingdom,,Sonia,1993,English,164,2
Vrede,Netherlands,,Ruth Jacott,1993,Dutch,92,6
Don't Ever Cry,Croatia,0qbGlaru5Byq9mB8anuEK0,Put,1993,"Croatian, English",31,15
Hombres,Spain,,Eva Santamaría,1993,Spanish,58,11
Mi stamatas (Μη σταματάς),Cyprus,,Zimboulakis & Van Beke,1993,Greek,17,19
